"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20180101 ~ 20180630"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 송파구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"서울특별시 송파구 가락동","140","0140","0000","가락(1차)쌍용아파트","59.92","201804","11~20","67,000","3","1997","동남로"
"서울특별시 송파구 가락동","140","0140","0000","가락(1차)쌍용아파트","59.92","201804","11~20","72,000","17","1997","동남로"
"서울특별시 송파구 가락동","140","0140","0000","가락(1차)쌍용아파트","84.69","201804","11~20","79,000","4","1997","동남로"
"서울특별시 송파구 가락동","140","0140","0000","가락(1차)쌍용아파트","59.92","201804","11~20","72,000","15","1997","동남로"
"서울특별시 송파구 가락동","140","0140","0000","가락(1차)쌍용아파트","84.69","201804","21~30","86,000","22","1997","동남로"
"서울특별시 송파구 가락동","140","0140","0000","가락(1차)쌍용아파트","59.92","201804","21~30","72,000","7","1997","동남로"
"서울특별시 송파구 가락동","140","0140","0000","가락(1차)쌍용아파트","84.69","201804","21~30","84,000","10","1997","동남로"
"서울특별시 송파구 가락동","140","0140","0000","가락(1차)쌍용아파트","59.92","201805","1~10","71,800","10","1997","동남로"
"서울특별시 송파구 가락동","140","0140","0000","가락(1차)쌍용아파트","84.69","201805","1~10","86,000","16","1997","동남로"
"서울특별시 송파구 가락동","140","0140","0000","가락(1차)쌍용아파트","59.92","201805","1~10","68,300","20","1997","동남로"
"서울특별시 송파구 가락동","140","0140","0000","가락(1차)쌍용아파트","59.92","201805","11~20","70,000","5","1997","동남로"
"서울특별시 송파구 가락동","140","0140","0000","가락(1차)쌍용아파트","84.69","201806","11~20","84,800","15","1997","동남로"
"서울특별시 송파구 가락동","53","0053","0000","가락3차쌍용스윗닷홈 101동, 102동","84.99","201801","11~20","76,000","8","2005","송이로21길"
"서울특별시 송파구 가락동","53","0053","0000","가락3차쌍용스윗닷홈 101동, 102동","84.99","201801","11~20","80,000","8","2005","송이로21길"
"서울특별시 송파구 가락동","53","0053","0000","가락3차쌍용스윗닷홈 101동, 102동","84.99","201803","21~31","81,000","8","2005","송이로21길"
"서울특별시 송파구 가락동","53","0053","0000","가락3차쌍용스윗닷홈 101동, 102동","59.94","201803","21~31","70,500","9","2005","송이로21길"
"서울특별시 송파구 가락동","54","0054","0000","가락3차쌍용스윗닷홈(103동)","84.94","201802","11~20","78,000","6","2005","송이로19길"
"서울특별시 송파구 가락동","141-7","0141","0007","가락그랑밸리","63.1","201804","1~10","39,500","6","2001","동남로13길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","85","201801","1~10","76,200","5","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","59.91","201801","1~10","60,000","1","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","85","201801","1~10","80,000","20","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","84.85","201801","1~10","78,400","22","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","59.91","201801","11~20","69,500","7","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","85","201801","11~20","78,500","5","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","59.91","201801","11~20","69,800","24","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","85","201801","11~20","77,000","2","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","85","201801","11~20","82,500","16","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","85","201801","11~20","84,000","23","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","85","201801","11~20","80,000","18","1997","송파대로32길"
